Sectum;sectum@yo.ru;Эмили Блант. Еще и такая крутая со стволом. Посмотрю.;June 25, 2014 в 1:53;192.168.1.102;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36;
Vibaka;vibaka@yo.ru;Про проект слышал раньше. Режиссер аут. Попса.;June 25, 2014 в 1:54;192.168.1.102;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36;
Stotsmnb311;stotsmnb311@yo.ru;Опять Круз и опять будущее. На Обливион смахивает. Но все равно жду, это ж Круз.;June 25, 2014 в 1:54;192.168.1.102;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36;
MARK ANTONII;mark@yo.ru;Том Круз! Да еще и "крутая" Блант. Ну конечно ожидаемо -);June 25, 2014 в 2:02;192.168.1.102;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36;
Стальной;stal@yo.ru;Ожидаемо в обох смыслах. Правда думаю от манги немногое осталось.;June 25, 2014 в 2:03;192.168.1.102;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36;
-Ника-;nika@yo.ru;Очень не люблю Круза и тема напрочь не моя, должно произойти чудо, чтобы я это посмотрела.;June 25, 2014 в 2:05;192.168.1.102;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36;
Танцор34;tabcor@yo.ru;Военное кино+петля времени. Заценю.;June 25, 2014 в 2:08;192.168.1.102;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36;
faq13;faq@yo.ru;во-первых, это не манга, а скорее иллюстрированный роман. во-вторых, её и в первоисточнике звали Ритой Вратаски, а всё остальное - только прозвища.;June 25, 2014 в 2:11;192.168.1.102;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36;
Benny;benny@yo.ru;Жесть, похоже Круз и стал причиной ПЖ, но я очень надеюсь на R-ку. А самого Круза сейчас в любые роли пихают, вне зависимости подходит он иль нет.;June 25, 2014 в 2:18;192.168.1.102;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36;
Lirik;lirik@yo.ru;Ну, если бы не Круз, то этот проект бы вообще не состоялся. У создателей то других козырей в виде дополнительных звезд, именитого режиссера или хотя бы продюсеров, в рукаве нет. По сути, выезжать придется во многом за счет лишь одного Круза, и далеко не факт что в итоге получится.;June 25, 2014 в 2:19;192.168.1.102;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36;
Rote;rote@yo.ru;Мне нравится, как автор темы пришельцев склоняет.;June 25, 2014 в 2:19;192.168.1.102;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36;
